Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,Call,"Location",County,State,Modes,Digital Access
438.825000,431.82500,,,,VK3RSU,"Melbourne - Glen Waverley",Victoria,Australia,DMR ,1
438.837500,431.83750,,,,VK3RYR,"Gruyere - Briarty Hill",Victoria,Australia,FM WIRES-X ,
438.875000,431.87500,,88.5,,VK3RHF,"Melbourne North West - Mt Macedon",Victoria,Australia,FM ,
438.900000,431.90000,,,,VK3RGV,"Euroa - Mt Wombat",Victoria,Australia,DMR ,1
438.912500,431.91250,,,,VK3RTE,"Frankston - Karingal",Victoria,Australia,DMR ,1
438.925000,431.92500,,,,VK3RBD,"Geelong",Victoria,Australia,DMR P-25 ,1
439.325000,434.32500,,,,VK3RGH,"Kyneton - Green Hill",Victoria,Australia,FM WIRES-X ,
439.350000,434.35000,,,,VK3RWV,"Hughesdale",Victoria,Australia,DMR ,1
439.350000,434.35000,,91.5,,VK3RMP,"Molesworth - Caveat",Victoria,Australia,FM ,
439.375000,434.37500,,91.5,,VK3RMC,"Dandenong Sth - Narre Warren",Victoria,Australia,FM ,
439.425000,434.42500,,91.5,,VK3RSV,"Dandenong - Noble Park",Victoria,Australia,DMR ,1
439.425000,434.42500,,,,VK3RNE,"Yackandandah - Mt Big Ben",Victoria,Australia,FM ,
439.450000,434.45000,,91.5,,VK3RMN,"Kinglake Central - Kinglake",Victoria,Australia,FM ,
439.500000,434.50000,,91.5,,VK3RGL,"Geelong North - Mt Anakie",Victoria,Australia,DMR ,1
439.525000,434.52500,,91.5,,VK3RTU,"Bairnsdale - Mt Taylor",Victoria,Australia,FM ,
439.525000,434.52500,,,,VK3RPT,"Wallan - Pretty Sally",Victoria,Australia,DMR ,1
439.550000,434.55000,,91.5,,VK3RSB,"Healesville - Mt St Leonard Tower",Victoria,Australia,FM ,
439.575000,434.57500,,91.5,,VK3RGC,"Geelong - Montpellier",Victoria,Australia,FM ,
